City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
12,Mancio Lima,BR,76.82,scattered clouds,-7.61,-72.9,Vila Pousada
16,Bengkulu,ID,78.03,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
21,Hithadhoo,MV,81.37,scattered clouds,-0.6,73.08,Scoop Guest House
22,Flinders,AU,76.17,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
31,Meulaboh,ID,78.33,overcast clouds,4.14,96.13,Kost Pria
35,Vanimo,PG,87.01,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
37,Bonoua,CI,78.42,few clouds,5.27,-3.6,Hotel Bon Samaritian
44,Piacabucu,BR,75.78,scattered clouds,-10.41,-36.43,PiaÃ§abuÃ§u News
46,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
50,Butaritari,KI,79.45,scattered clouds,3.07,172.79,Isles Sunset Lodge
60,Banjar,ID,84.94,broken clouds,-8.19,114.97,The Hamsa Resort
64,Kirakira,SB,83.79,broken clouds,-10.45,161.92,SanBiz Lodge
66,Port Blair,IN,81.57,broken clouds,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
74,San Patricio,US,78.91,clear sky,28.02,-97.52,"Motel 6 Sinton, TX"
76,Jacareacanga,BR,77.36,broken clouds,-6.22,-57.75,Casa do IanðŸ˜Ž
87,Faanui,PF,77.18,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
89,General Roca,AR,82.62,broken clouds,-39.03,-67.58,Hotel El Recreo
90,Alta Floresta,BR,77.59,scattered clouds,-9.88,-56.09,Floresta Amazonica Hotel
95,Alugan,PH,83.62,overcast clouds,12.22,125.48,JM Lodge
96,Dingle,PH,83.52,moderate rain,11.0,122.67,SEGAYA PROPERTY
97,Atuona,PF,77.04,overcast clouds,-9.8,-139.03,Villa Enata
103,Samarai,PG,84.09,overcast clouds,-10.62,150.67,Nuli Sapi
104,Jaru,BR,78.69,few clouds,-10.44,-62.47,Hotel ParanÃ¡
106,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
108,Hilo,US,80.33,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
113,Port Hedland,AU,77.05,scattered clouds,-20.32,118.57,The Esplanade Hotel
117,Rawson,AR,80.17,overcast clouds,-43.3,-65.1,Hosteria Sampedro
122,Sur,OM,79.25,overcast clouds,22.57,59.53,Sur Plaza Hotel
127,Kapaa,US,82.38,scattered clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
128,Tucuman,AR,82.4,overcast clouds,-26.82,-65.22,Hotel Premier
131,Kimbe,PG,88.11,light rain,-5.55,150.14,Kimbe Bay Hotel
133,Kavieng,PG,85.35,overcast clouds,-2.57,150.8,Nusa Island Retreat
142,Cabo San Lucas,MX,78.06,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
144,Sao Filipe,CV,78.17,clear sky,14.9,-24.5,Hotel Xaguate
145,Labrea,BR,77.99,clear sky,-7.26,-64.8,Hotel Novo Horizonte
147,Kahului,US,89.62,few clouds,20.89,-156.47,Maui Seaside Hotel
160,Avarua,CK,78.85,few clouds,-21.21,-159.78,Paradise Inn
163,Alice Springs,AU,87.35,few clouds,-23.7,133.88,Desert Palms Alice Springs
165,Vao,NC,75.61,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
167,Osmena,PH,82.24,overcast clouds,10.52,119.93,Arjemarkyza Lodge
172,Bodden Town,KY,82.4,few clouds,19.28,-81.25,Will T Place
174,Touros,BR,78.57,broken clouds,-5.2,-35.46,INN NEW HORIZON
175,Andros Town,BS,80.56,clear sky,24.7,-77.77,CBH
176,Mogadishu,SO,77.34,scattered clouds,2.04,45.34,Hotel Juba
177,Ishigaki,JP,77.13,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
183,Georgetown,MY,82.24,light rain,5.41,100.34,Cititel Penang
184,Neiafu,TO,79.48,scattered clouds,-18.65,-173.98,Mystic Sands Beachfront Accommodation
188,Tamandare,BR,75.92,overcast clouds,-8.76,-35.1,Pousada 100 Passos
190,Novo Aripuana,BR,76.3,overcast clouds,-5.12,-60.38,Hotel YpÃª
191,Miramar,US,81.0,broken clouds,25.99,-80.23,Stadium Hotel
192,Dakar,SN,76.08,overcast clouds,14.69,-17.44,Novotel Dakar
198,Marawi,PH,79.57,broken clouds,8.0,124.29,Derogongan Residence
205,Bonthe,SL,76.93,moderate rain,7.53,-12.51,Bonthe Holiday Village
222,Whyalla,AU,78.66,clear sky,-33.03,137.58,Foreshore Motor Inn
224,Victoria Point,AU,80.44,clear sky,-27.58,153.3,Bay Retreat Motel
229,Kita,ML,81.82,overcast clouds,13.03,-9.49,Kouyou
233,Kabugao,PH,81.3,broken clouds,18.02,121.18,ACLC-BOYS DORMITORY
235,Makakilo City,US,84.52,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
236,Hoi An,VN,82.36,broken clouds,15.88,108.33,Belle Maison Hadana Hoi An managed by H&K Hospitality
241,Boromo,BF,76.91,clear sky,11.75,-2.93,Sama Camp
246,Hambantota,LK,75.78,overcast clouds,6.12,81.12,Bungalow 63
247,Sabang,ID,79.95,overcast clouds,5.89,95.32,Hotel Citra
249,Alofi,NU,80.49,clear sky,-19.06,-169.92,Taloa Heights
252,Sinnamary,GF,78.35,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
256,Hobyo,SO,78.89,scattered clouds,5.35,48.53,Halane Hotel and Restaurent
262,Salalah,OM,77.09,clear sky,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
266,Atar,MR,77.59,overcast clouds,20.52,-13.05,Oumou Elghoura
273,Noumea,NC,82.0,broken clouds,-22.28,166.46,HÃ´tel Le Lagon
283,Houma,US,77.0,scattered clouds,29.6,-90.72,Courtyard by Marriott Houma
286,Tainan,TW,78.87,broken clouds,22.99,120.21,Tie Dao Hotel
288,Barabai,ID,78.93,overcast clouds,-2.58,115.38,Rumah Bani bin nana
295,Sorong,ID,82.31,overcast clouds,-0.88,131.25,Waigo Splash Hotel
297,La Raya De Santa Maria,PA,77.22,overcast clouds,8.17,-80.82,PolicÃ­a nacional La Raya Santa Maria
300,Gizo,SB,83.55,light rain,-8.1,156.84,Imagination Island
305,Charters Towers,AU,83.23,scattered clouds,-20.1,146.27,Cattleman's Rest Motor Inn
307,Kloulklubed,PW,81.1,scattered clouds,7.04,134.26,Storyboard Beach Resort
311,Saint-Georges,GD,82.08,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
313,Wewak,PG,86.14,scattered clouds,-3.55,143.63,In Wewak Boutique Hotel
323,Vaitape,PF,77.11,light rain,-16.52,-151.75,Conrad Bora Bora Nui
339,Phan Thiet,VN,79.52,broken clouds,10.93,108.1,Hotel Saigon-PT
342,Bathsheba,BB,81.21,few clouds,13.22,-59.52,Atlantis Hotel
346,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
357,Sokoni,TZ,77.65,clear sky,-6.43,39.55,Ujamaa Beach Resort
359,Boyolangu,ID,80.44,overcast clouds,-8.12,111.89,Yos ega cv
360,Isla Mujeres,MX,78.17,few clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
361,Manaure,CO,80.55,overcast clouds,11.78,-72.44,HOTEL DEL MAR VENDRA
369,Bandarbeyla,SO,77.31,clear sky,9.49,50.81,JABIR HOTEL
371,Puerto Carreno,CO,79.92,few clouds,6.19,-67.49,Casa Hotel Victoria
372,Puerto Ayacucho,VE,79.29,broken clouds,5.66,-67.62,Posada Turistica Manapiare
380,Pamanukan,ID,82.53,overcast clouds,-6.28,107.81,Paris Day Hotel Pamanukan
383,Yeppoon,AU,78.58,few clouds,-23.13,150.73,Villa Mar Colina
389,Ugoofaaru,MV,80.4,broken clouds,5.67,73.0,Ungoofaaru Inn
393,Kuching,MY,83.12,light intensity shower rain,1.55,110.33,Hilton Kuching
394,Pochutla,MX,80.42,light rain,15.74,-96.47,Hotel Posada San Jose
395,Kavaratti,IN,80.44,clear sky,10.57,72.64,Dharul Hudha
404,Biak,ID,83.32,overcast clouds,-0.91,122.88,Penginapan Kim
405,Limoeiro Do Ajuru,BR,77.09,overcast clouds,-1.9,-49.38,Kitnet Prof' Alaerce
407,Veraval,IN,77.22,clear sky,20.9,70.37,Lords Inn Somnath
411,Takoradi,GH,77.52,scattered clouds,4.88,-1.76,Raybow International Hotel
414,Cayenne,GF,77.04,heavy intensity rain,4.93,-52.33,HÃ´tel Le Dronmi
421,San Cristobal,VE,75.38,overcast clouds,7.77,-72.22,Pirineos
426,Ambon,ID,87.94,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
442,Elesbao Veloso,BR,75.18,overcast clouds,-6.2,-42.14,Pousada Paraiso
443,Mocuba,MZ,75.06,overcast clouds,-16.84,36.99,Phama Lodge
450,Muncar,ID,81.16,broken clouds,-8.43,114.33,Zaky Homestay
452,Bontang,ID,79.99,light rain,0.13,117.5,Okra Leaf Guest House Syariah
455,Emilio Carranza,MX,76.91,clear sky,19.97,-96.61,Maranch
457,Balikpapan,ID,77.99,light rain,-1.27,116.83,Swiss-Belhotel Balikpapan
460,Lamu,KE,77.22,light rain,-2.27,40.9,Lamu House
464,Mount Isa,AU,87.57,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
470,Sola,VU,81.27,few clouds,-13.88,167.55,Ulkel Guest House
475,Matara,LK,75.7,scattered clouds,5.95,80.54,Amaloh Boutique Resort
478,Kandrian,PG,85.71,light rain,-6.22,149.55,Kandrian Station
480,Inirida,CO,78.84,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
488,Honiara,SB,85.93,overcast clouds,-9.43,159.95,Heritage Park Hotel
490,Harper,LR,76.91,few clouds,4.38,-7.72,Screensaver
495,Alyangula,AU,86.31,few clouds,-13.85,136.42,Groote Eylandt Lodge
496,Kollam,IN,75.52,overcast clouds,8.88,76.6,The Raviz Ashtamudi
499,Riberalta,BO,77.72,overcast clouds,-10.98,-66.1,Hotel Colonial
507,Hue,VN,77.11,scattered clouds,16.47,107.6,Saigon Morin Hotel
514,Bagua Grande,PE,76.59,few clouds,-5.76,-78.44,HOTELNIEVA
515,Cockburn Town,TC,75.81,light rain,21.46,-71.14,Osprey Beach Hotel
517,Tautira,PF,76.1,light rain,-17.73,-149.15,Pension Oaoa
521,Port Keats,AU,90.0,scattered clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
524,Natal,BR,79.45,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
527,Morant Bay,JM,80.22,clear sky,17.88,-76.41,Whispering Bamboo Cove Resort
529,Brenham,US,78.71,clear sky,30.17,-96.4,Hampton Inn & Suites Brenham
534,Kralendijk,BQ,80.58,clear sky,12.15,-68.27,Divi Flamingo Beach Resort & Casino
542,Oistins,BB,80.69,few clouds,13.07,-59.53,Butterfly Beach Hotel
548,Luganville,VU,84.02,few clouds,-15.53,167.17,The Espiritu Hotel
549,Axim,GH,77.0,scattered clouds,4.87,-2.24,Axim Beach Resort And Spa
550,Oranjestad,AW,76.95,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
561,Ixtapa,MX,78.03,scattered clouds,20.7,-105.2,hotel la terminal
563,Catia La Mar,VE,79.0,scattered clouds,10.6,-67.03,HOTEL PLAYA GRANDE CARIBE
568,Pandan,PH,80.92,heavy intensity rain,14.05,124.17,Bonifacio Lodge
572,Banda Aceh,ID,79.61,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
579,Itarema,BR,78.42,broken clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
586,Gurupi,BR,77.07,overcast clouds,-11.73,-49.07,Via Norte Hotel
590,Abu Dhabi,AE,78.82,clear sky,24.47,54.37,Beach Rotana
593,Am Timan,TD,76.5,clear sky,11.03,20.28,Palais du chef Canton Salamt
595,Townsville,AU,86.88,few clouds,-19.25,146.8,Rydges Southbank Townsville
599,Isangel,VU,84.31,few clouds,-19.55,169.27,Tanna Lodge
602,Lakes Entrance,AU,75.16,scattered clouds,-37.88,147.98,The Esplanade Resort & Spa
603,Lorengau,PG,84.49,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
605,Rock Sound,BS,81.19,clear sky,24.9,-76.2,Pink Corral Bay Property
607,The Valley,AI,81.1,overcast clouds,18.22,-63.06,CeBlue Villas & Beach Resort
613,Ankola,IN,76.15,clear sky,14.67,74.3,Hotel K Plus
615,Bambanglipuro,ID,81.48,overcast clouds,-7.95,110.28,Puri Brata
617,Pasni,PK,77.86,clear sky,25.26,63.47,Kashmiri Hotal
625,Xapuri,BR,77.43,clear sky,-10.65,-68.5,Restaurante Viana
639,Neuquen,AR,80.85,light rain,-38.95,-68.06,Hotel del Comahue
645,Atambua,ID,84.11,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
648,Tual,ID,84.15,overcast clouds,-5.67,132.75,Grand Vilia Hotel
656,Pouebo,NC,82.08,scattered clouds,-20.4,164.57,RIVÃ‚T LODGE
657,Waingapu,ID,85.78,overcast clouds,-9.66,120.26,Pondok Wisata Elim
658,Biltine,TD,77.83,clear sky,14.53,20.92,HÃ´tel Trois Ã‰toiles de Biltine
664,Port Augusta,AU,84.99,clear sky,-32.5,137.77,Majestic Oasis Apartments
666,Alice,US,78.96,broken clouds,27.75,-98.07,"Holiday Inn Express & Suites Alice, an IHG Hotel"
